timestamp,hour,minute,day_of_week,is_weekend,north_count,south_count,east_count,west_count,total_vehicles,ns_total,ew_total
2024-01-01 00:00:00,0,0,0,0,3,6,0,6,15,9,6
2024-01-01 00:02:00,0,2,0,0,18,13,9,22,62,31,31
2024-01-01 00:04:00,0,4,0,0,13,10,14,3,40,23,17
2024-01-01 00:06:00,0,6,0,0,17,31,28,26,102,48,54
2024-01-01 00:08:00,0,8,0,0,12,15,7,7,41,27,14
2024-01-01 00:10:00,0,10,0,0,16,8,10,21,55,24,31
2024-01-01 00:12:00,0,12,0,0,8,5,19,18,50,13,37
2024-01-01 00:14:00,0,14,0,0,37,28,24,25,114,65,49
2024-01-01 00:16:00,0,16,0,0,0,2,2,0,4,2,2
2024-01-01 00:18:00,0,18,0,0,11,18,10,11,50,29,21
2024-01-01 00:20:00,0,20,0,0,4,12,3,0,19,16,3
2024-01-01 00:22:00,0,22,0,0,9,7,11,12,39,16,23
2024-01-01 00:24:00,0,24,0,0,12,10,9,2,33,22,11
2024-01-01 00:26:00,0,26,0,0,26,15,13,12,66,41,25
2024-01-01 00:28:00,0,28,0,0,2,4,6,2,14,6,8
2024-01-01 00:30:00,0,30,0,0,27,25,23,24,99,52,47
2024-01-01 00:32:00,0,32,0,0,0,4,5,8,17,4,13
2024-01-01 00:34:00,0,34,0,0,26,21,28,34,109,47,62
2024-01-01 00:36:00,0,36,0,0,15,10,26,18,69,25,44
2024-01-01 00:38:00,0,38,0,0,15,2,14,6,37,17,20
2024-01-01 00:40:00,0,40,0,0,16,14,6,18,54,30,24
2024-01-01 00:42:00,0,42,0,0,19,19,16,14,68,38,30
2024-01-01 00:44:00,0,44,0,0,18,12,9,19,58,30,28
2024-01-01 00:46:00,0,46,0,0,7,13,3,7,30,20,10
2024-01-01 00:48:00,0,48,0,0,18,29,15,27,89,47,42
2024-01-01 00:50:00,0,50,0,0,12,18,8,8,46,30,16
2024-01-01 00:52:00,0,52,0,0,5,10,18,5,38,15,23
2024-01-01 00:54:00,0,54,0,0,8,15,6,17,46,23,23
2024-01-01 00:56:00,0,56,0,0,14,14,25,18,71,28,43
2024-01-01 00:58:00,0,58,0,0,13,14,8,22,57,27,30
2024-01-01 01:00:00,1,0,0,0,11,10,16,16,53,21,32
2024-01-01 01:02:00,1,2,0,0,9,10,8,22,49,19,30
2024-01-01 01:04:00,1,4,0,0,7,12,6,8,33,19,14
2024-01-01 01:06:00,1,6,0,0,13,28,28,26,95,41,54
2024-01-01 01:08:00,1,8,0,0,9,16,13,10,48,25,23
2024-01-01 01:10:00,1,10,0,0,17,17,22,11,67,34,33
2024-01-01 01:12:00,1,12,0,0,0,0,0,2,2,0,2
2024-01-01 01:14:00,1,14,0,0,25,31,32,28,116,56,60
2024-01-01 01:16:00,1,16,0,0,21,18,29,17,85,39,46
2024-01-01 01:18:00,1,18,0,0,14,18,12,18,62,32,30
2024-01-01 01:20:00,1,20,0,0,20,17,20,18,75,37,38
2024-01-01 01:22:00,1,22,0,0,8,12,13,9,42,20,22
2024-01-01 01:24:00,1,24,0,0,3,13,2,9,27,16,11
2024-01-01 01:26:00,1,26,0,0,35,36,35,32,138,71,67
2024-01-01 01:28:00,1,28,0,0,4,13,1,2,20,17,3
2024-01-01 01:30:00,1,30,0,0,0,4,0,0,4,4,0
2024-01-01 01:32:00,1,32,0,0,5,14,3,1,23,19,4
2024-01-01 01:34:00,1,34,0,0,17,30,29,27,103,47,56
2024-01-01 01:36:00,1,36,0,0,12,12,24,16,64,24,40
2024-01-01 01:38:00,1,38,0,0,27,27,30,24,108,54,54
2024-01-01 01:40:00,1,40,0,0,20,17,19,6,62,37,25
2024-01-01 01:42:00,1,42,0,0,17,21,19,19,76,38,38
2024-01-01 01:44:00,1,44,0,0,22,21,12,7,62,43,19
2024-01-01 01:46:00,1,46,0,0,23,16,15,14,68,39,29
2024-01-01 01:48:00,1,48,0,0,17,10,10,15,52,27,25
2024-01-01 01:50:00,1,50,0,0,0,0,9,12,21,0,21
2024-01-01 01:52:00,1,52,0,0,23,14,17,11,65,37,28
2024-01-01 01:54:00,1,54,0,0,10,8,14,3,35,18,17
2024-01-01 01:56:00,1,56,0,0,31,24,28,22,105,55,50
2024-01-01 01:58:00,1,58,0,0,3,12,11,10,36,15,21
2024-01-01 02:00:00,2,0,0,0,11,24,16,18,69,35,34
2024-01-01 02:02:00,2,2,0,0,0,11,5,3,19,11,8
2024-01-01 02:04:00,2,4,0,0,9,18,18,17,62,27,35
2024-01-01 02:06:00,2,6,0,0,13,12,4,2,31,25,6
2024-01-01 02:08:00,2,8,0,0,15,28,14,18,75,43,32
2024-01-01 02:10:00,2,10,0,0,8,7,6,10,31,15,16
2024-01-01 02:12:00,2,12,0,0,18,6,13,15,52,24,28
2024-01-01 02:14:00,2,14,0,0,22,18,16,24,80,40,40
2024-01-01 02:16:00,2,16,0,0,25,22,17,19,83,47,36
2024-01-01 02:18:00,2,18,0,0,11,4,5,13,33,15,18
2024-01-01 02:20:00,2,20,0,0,13,5,3,11,32,18,14
2024-01-01 02:22:00,2,22,0,0,0,5,0,7,12,5,7
2024-01-01 02:24:00,2,24,0,0,0,0,7,0,7,0,7
2024-01-01 02:26:00,2,26,0,0,4,17,6,10,37,21,16
2024-01-01 02:28:00,2,28,0,0,24,12,25,26,87,36,51
2024-01-01 02:30:00,2,30,0,0,3,12,5,6,26,15,11
2024-01-01 02:32:00,2,32,0,0,6,3,15,17,41,9,32
2024-01-01 02:34:00,2,34,0,0,5,11,12,14,42,16,26
2024-01-01 02:36:00,2,36,0,0,7,4,1,11,23,11,12
2024-01-01 02:38:00,2,38,0,0,0,10,8,9,27,10,17
2024-01-01 02:40:00,2,40,0,0,12,16,9,11,48,28,20
2024-01-01 02:42:00,2,42,0,0,15,12,16,4,47,27,20
2024-01-01 02:44:00,2,44,0,0,17,20,22,18,77,37,40
2024-01-01 02:46:00,2,46,0,0,4,0,6,0,10,4,6
2024-01-01 02:48:00,2,48,0,0,8,11,0,9,28,19,9
2024-01-01 02:50:00,2,50,0,0,15,3,11,14,43,18,25
2024-01-01 02:52:00,2,52,0,0,4,0,14,9,27,4,23
2024-01-01 02:54:00,2,54,0,0,20,27,26,25,98,47,51
2024-01-01 02:56:00,2,56,0,0,13,24,20,22,79,37,42
2024-01-01 02:58:00,2,58,0,0,21,14,13,18,66,35,31
2024-01-01 03:00:00,3,0,0,0,9,4,3,11,27,13,14
2024-01-01 03:02:00,3,2,0,0,10,20,19,21,70,30,40
2024-01-01 03:04:00,3,4,0,0,15,20,15,16,66,35,31
2024-01-01 03:06:00,3,6,0,0,8,9,21,5,43,17,26
2024-01-01 03:08:00,3,8,0,0,8,8,12,13,41,16,25
2024-01-01 03:10:00,3,10,0,0,15,20,19,12,66,35,31
2024-01-01 03:12:00,3,12,0,0,14,14,13,24,65,28,37
2024-01-01 03:14:00,3,14,0,0,7,8,14,17,46,15,31
2024-01-01 03:16:00,3,16,0,0,6,2,13,13,34,8,26
2024-01-01 03:18:00,3,18,0,0,4,11,0,8,23,15,8
2024-01-01 03:20:00,3,20,0,0,11,14,0,9,34,25,9
2024-01-01 03:22:00,3,22,0,0,11,12,18,4,45,23,22
2024-01-01 03:24:00,3,24,0,0,17,18,20,15,70,35,35
2024-01-01 03:26:00,3,26,0,0,14,16,5,18,53,30,23
2024-01-01 03:28:00,3,28,0,0,8,18,9,6,41,26,15
2024-01-01 03:30:00,3,30,0,0,14,15,8,9,46,29,17
2024-01-01 03:32:00,3,32,0,0,11,7,7,5,30,18,12
2024-01-01 03:34:00,3,34,0,0,22,18,11,9,60,40,20
2024-01-01 03:36:00,3,36,0,0,25,22,30,35,112,47,65
2024-01-01 03:38:00,3,38,0,0,17,16,2,10,45,33,12
